# The format of each line is
# <NearAS,  NearBR,  FarAS,  DstPrfx>|(FarIPs)
<AS6939, ams1, AS205943, 185.201.69.0/24>|(80.249.208.6, 80.249.208.7)
<AS6939, ash1, AS714, 17.0.109.0/24>|(206.126.237.103, 206.126.237.51)
<AS6939, ash1, AS1299, 2.22.63.0/24>|(213.248.98.93, 213.248.67.117)
<AS6939, ash1, AS2615, 147.1.234.0/24>|(209.51.168.107, 209.51.168.106)
<AS6939, ash1, AS2635, 192.0.101.0/24>|(206.126.237.124, 206.126.236.197)
<AS6939, ash1, AS8075, 13.107.14.0/24>|(206.126.236.17, 206.53.170.12, 206.126.236.148)
<AS6939, ash1, AS11377, 167.89.119.0/24>|(206.126.238.13, 206.126.237.61)
<AS6939, ash1, AS11742, 170.76.216.0/24>|(206.126.237.116, 206.126.237.60)
<AS6939, ash1, AS12085, 198.32.107.0/24>|(206.126.237.248, 206.126.237.249)
<AS6939, ash1, AS13335, 108.162.212.0/24>|(206.126.237.30, 206.53.170.7)
<AS6939, ash1, AS14630, 205.174.0.0/24>|(206.126.238.24, 206.126.236.83)
<AS6939, ash1, AS15133, 152.195.64.0/24>|(216.66.0.54, 206.126.236.112)
<AS6939, ash1, AS16509, 205.251.194.0/24>|(206.126.236.35, 206.126.236.68)
<AS6939, ash1, AS26667, 192.203.231.0/24>|(206.126.237.164, 206.126.237.165)
<AS6939, ash1, AS26914, 72.172.234.0/24>|(209.51.184.158, 216.66.30.98)
<AS6939, ash1, AS27281, 192.184.68.0/24>|(206.126.238.59, 206.126.238.60)
<AS6939, ash1, AS32286, 199.102.234.0/24>|(206.126.237.138, 206.126.237.84)
<AS6939, ash1, AS32590, 162.254.192.0/24>|(206.126.237.222, 206.126.237.32)
<AS6939, ash1, AS33438, 209.197.18.0/24>|(206.126.238.61, 206.126.238.62)
<AS6939, ash1, AS36459, 140.82.112.0/24>|(206.126.237.27, 206.126.237.205)
<AS6939, ash1, AS40526, 8.18.111.0/24>|(206.126.237.247, 206.126.237.246)
<AS6939, ash1, AS46489, 192.108.239.0/24>|(206.126.236.193, 206.126.237.193)
<AS6939, ash1, AS50837, 104.36.18.0/24>|(216.66.43.190, 216.66.22.10)
<AS6939, ash1, AS54113, 104.156.80.0/24>|(206.126.237.168, 206.126.237.169)
<AS6939, ash1, AS62715, 68.65.197.0/24>|(209.51.181.198, 209.51.181.194, 209.51.181.174)
<AS6939, ash1, AS63440, 64.16.233.0/24>|(206.126.237.147, 206.126.237.154)
<AS6939, atl1, AS714, 17.0.109.0/24>|(198.32.132.180, 198.32.132.140, 198.32.182.39)
<AS6939, atl1, AS10310, 216.115.103.0/24>|(198.32.132.233, 198.32.132.234)
<AS6939, atl1, AS13414, 104.244.41.0/24>|(198.32.132.111, 198.32.132.112)
<AS6939, atl1, AS16509, 205.251.192.0/24>|(198.32.132.95, 198.32.132.251)
<AS6939, atl1, AS22616, 104.129.204.0/24>|(198.32.132.142, 198.32.132.143)
<AS6939, atl1, AS33438, 205.185.217.0/24>|(198.32.132.223, 198.32.132.39)
<AS6939, atl1, AS46489, 192.108.239.0/24>|(198.32.132.238, 198.32.132.239)
<AS6939, atl1, AS54113, 23.235.32.0/24>|(198.32.132.216, 198.32.132.215, 206.71.12.30)
<AS6939, atl1, AS62887, 23.130.0.0/24>|(198.32.132.137, 206.71.12.24, 206.71.12.23)
<AS6939, bts1, AS2607, 192.108.131.0/24>|(192.108.148.11, 192.108.148.10)
<AS6939, bts1, AS5578, 194.156.68.0/24>|(192.108.148.101, 192.108.148.100)
<AS6939, bts1, AS6855, 176.107.24.0/24>|(192.108.148.31, 192.108.148.30)
<AS6939, bts1, AS48326, 193.8.93.0/24>|(192.108.148.170, 192.108.148.171)
<AS6939, bud1, AS62214, 194.176.123.0/24>|(193.188.137.46, 193.188.137.45)
<AS6939, buh1, AS9009, 5.253.185.0/24>|(80.97.248.57, 86.104.125.141)
<AS6939, buh1, AS10310, 87.248.104.0/24>|(86.104.125.65, 80.97.248.72)
<AS6939, buh1, AS13335, 162.159.0.0/24>|(80.97.248.54, 86.104.125.138)
<AS6939, buh1, AS44679, 185.193.52.0/24>|(216.66.94.34, 216.66.89.194)
<AS6939, chi1, AS10310, 216.115.103.0/24>|(206.41.110.39, 206.108.115.37)
<AS6939, chi1, AS23250, 184.105.254.0/24>|(184.105.253.211, 184.105.253.210)
<AS6939, chi1, AS62728, 162.220.72.0/24>|(184.105.25.90, 184.105.59.18)
<AS6939, cpt1, AS37333, 41.76.36.0/24>|(196.60.70.63, 196.223.22.65)
<AS6939, cpt1, AS328112, 45.220.62.0/24>|(196.60.70.43, 196.223.22.74)
<AS6939, cpt1, AS328174, 102.165.188.0/24>|(196.60.70.125, 196.60.70.124)
<AS6939, dal1, AS62, 198.58.72.0/24>|(198.32.130.31, 198.32.130.32, 206.53.202.65)
<AS6939, dal1, AS714, 17.0.120.0/24>|(206.53.202.79, 206.53.202.80, 206.223.118.161)
<AS6939, dal1, AS8075, 13.107.14.0/24>|(206.53.174.12, 206.223.118.17, 206.223.118.65)
<AS6939, dal1, AS10310, 68.142.248.0/24>|(206.53.174.13, 206.53.202.10, 206.53.202.12)
<AS6939, dal1, AS13335, 108.162.211.0/24>|(206.53.202.2, 206.223.118.145)
<AS6939, dal1, AS14630, 205.174.0.0/24>|(206.223.118.4, 206.223.118.103)
<AS6939, dal1, AS15133, 152.195.72.0/24>|(206.53.202.19, 206.223.118.44)
<AS6939, dal1, AS16509, 143.204.153.0/24>|(206.223.118.150, 206.223.118.110)
<AS6939, dal1, AS22616, 165.225.42.0/24>|(206.223.118.216, 206.223.118.217)
<AS6939, dal1, AS22822, 208.111.184.0/24>|(206.53.202.46, 206.223.118.123)
<AS6939, dal1, AS23486, 199.58.129.0/24>|(206.223.118.56, 206.223.118.131)
<AS6939, dal1, AS29884, 198.32.109.0/24>|(206.223.118.246, 206.223.118.247)
<AS6939, dal1, AS41095, 45.236.172.0/24>|(206.53.202.64, 206.223.118.158)
<AS6939, dal1, AS46489, 192.108.239.0/24>|(206.223.118.193, 206.223.118.163)
<AS6939, dal1, AS49544, 185.179.200.0/24>|(206.53.202.26, 206.223.118.228)
<AS6939, dal1, AS54113, 104.156.81.0/24>|(206.223.118.218, 206.53.202.54, 206.53.202.55)
<AS6939, dal1, AS62955, 8.42.112.0/24>|(206.53.202.32, 206.223.118.93)
<AS6939, dal1, AS199524, 185.101.136.0/24>|(206.53.202.71, 206.223.118.109)
<AS6939, den1, AS714, 17.0.109.0/24>|(206.51.46.12, 206.51.46.20)
<AS6939, den1, AS8075, 13.107.14.0/24>|(206.51.46.100, 206.51.46.72)
<AS6939, den1, AS10310, 68.142.248.0/24>|(206.51.46.25, 206.51.46.38, 206.53.175.18)
<AS6939, den1, AS13335, 162.159.0.0/24>|(206.53.175.20, 206.51.46.41)
<AS6939, den1, AS14041, 129.19.165.0/24>|(206.53.175.22, 206.51.46.23)
<AS6939, den1, AS36351, 173.192.250.0/24>|(206.53.175.14, 206.51.46.27)
<AS6939, den1, AS46489, 23.160.0.0/24>|(206.51.46.9, 206.51.46.19)
<AS6939, den1, AS54113, 104.156.80.0/24>|(206.51.46.94, 206.51.46.84)
<AS6939, den1, AS62728, 162.220.72.0/24>|(184.105.38.82, 184.105.255.62)
<AS6939, den1, AS63270, 209.212.50.0/24>|(206.51.46.18, 206.51.46.118)
<AS6939, dur1, AS327693, 102.67.183.0/24>|(196.10.141.220, 196.10.141.221)
<AS6939, dur1, AS327987, 41.78.244.0/24>|(196.223.30.127, 196.10.141.50)
<AS6939, fra1, AS680, 129.233.210.0/24>|(80.81.192.222, 80.81.193.222)
<AS6939, fra1, AS1241, 91.216.206.0/24>|(80.81.192.90, 80.81.193.231, 80.81.195.130, 80.81.194.129)
<AS6939, fra1, AS1267, 192.5.97.0/24>|(80.81.193.215, 80.81.192.215)
<AS6939, fra1, AS2686, 15.24.137.0/24>|(80.81.192.199, 80.81.193.199)
<AS6939, fra1, AS3209, 193.25.247.0/24>|(80.81.192.117, 80.81.193.117)
<AS6939, fra1, AS6507, 104.160.142.0/24>|(80.81.193.162, 80.81.193.163)
<AS6939, fra1, AS6667, 192.136.73.0/24>|(80.81.192.144, 80.81.194.150)
<AS6939, fra1, AS6805, 194.15.237.0/24>|(80.81.193.89, 80.81.192.89)
<AS6939, fra1, AS8359, 62.113.88.0/24>|(80.81.193.78, 80.81.192.78)
<AS6939, fra1, AS8422, 83.138.60.0/24>|(80.81.193.212, 80.81.192.212)
<AS6939, fra1, AS8881, 82.207.238.0/24>|(80.81.193.80, 80.81.195.188)
<AS6939, fra1, AS9050, 31.14.20.0/24>|(80.81.193.54, 80.81.192.54)
<AS6939, fra1, AS9063, 95.156.202.0/24>|(80.81.192.100, 80.81.193.100)
<AS6939, fra1, AS9116, 212.199.74.0/24>|(80.81.195.65, 80.81.194.65)
<AS6939, fra1, AS9145, 185.60.1.0/24>|(80.81.195.139, 80.81.192.247)
<AS6939, fra1, AS10310, 87.248.104.0/24>|(80.81.193.115, 80.81.192.115)
<AS6939, fra1, AS12306, 193.99.144.0/24>|(80.81.192.132, 80.81.193.132)
<AS6939, fra1, AS12337, 192.109.102.0/24>|(80.81.192.88, 80.81.193.88)
<AS6939, fra1, AS13030, 193.47.153.0/24>|(80.81.193.67, 80.81.192.67)
<AS6939, fra1, AS13101, 185.118.20.0/24>|(80.81.195.105, 80.81.192.83)
<AS6939, fra1, AS13414, 104.244.40.0/24>|(80.81.194.21, 80.81.192.10)
<AS6939, fra1, AS14061, 5.101.109.0/24>|(80.81.193.141, 80.81.195.151)
<AS6939, fra1, AS15133, 68.232.35.0/24>|(80.81.194.37, 80.81.195.37)
<AS6939, fra1, AS15169, 104.134.92.0/24>|(80.81.192.108, 80.81.193.108)
<AS6939, fra1, AS15598, 81.17.115.0/24>|(80.81.193.32, 80.81.192.32)
<AS6939, fra1, AS15943, 193.31.3.0/24>|(80.81.193.125, 80.81.194.255)
<AS6939, fra1, AS16276, 46.105.198.0/24>|(80.81.193.209, 80.81.192.209)
<AS6939, fra1, AS20676, 194.9.127.0/24>|(80.81.195.115, 80.81.192.41)
<AS6939, fra1, AS20764, 185.121.71.0/24>|(216.66.93.54, 80.81.193.166)
<AS6939, fra1, AS20810, 212.102.118.0/24>|(80.81.195.148, 80.81.194.226)
<AS6939, fra1, AS22822, 208.111.184.0/24>|(80.81.192.221, 80.81.193.221)
<AS6939, fra1, AS24940, 185.110.95.0/24>|(80.81.192.164, 80.81.193.164)
<AS6939, fra1, AS26667, 69.173.144.0/24>|(80.81.193.147, 80.81.193.126)
<AS6939, fra1, AS27281, 91.228.74.0/24>|(80.81.194.194, 80.81.195.236)
<AS6939, fra1, AS29802, 209.182.238.0/24>|(216.66.89.82, 184.104.202.222)
<AS6939, fra1, AS34309, 85.131.137.0/24>|(80.81.192.218, 80.81.193.218)
<AS6939, fra1, AS46489, 23.160.0.0/24>|(80.81.194.181, 80.81.193.81)
<AS6939, fra1, AS54113, 23.235.32.0/24>|(80.81.195.54, 80.81.195.55)
<AS6939, fra1, AS58453, 223.118.9.0/24>|(80.81.195.121, 80.81.193.51)
<AS6939, fra1, AS61157, 188.138.64.0/24>|(80.81.192.21, 80.81.196.8)
<AS6939, fra1, AS62044, 137.83.139.0/24>|(80.81.193.90, 80.81.193.24)
<AS6939, fra1, AS132203, 203.205.224.0/24>|(80.81.192.5, 80.81.195.120)
<AS6939, fra1, AS198018, 194.153.186.0/24>|(80.81.194.111, 80.81.194.179)
<AS6939, hkg1, AS714, 17.0.109.0/24>|(36.255.56.107, 36.255.56.207)
<AS6939, hkg1, AS2635, 192.0.66.0/24>|(36.255.56.43, 123.255.90.71)
<AS6939, hkg1, AS4058, 152.101.114.0/24>|(123.255.90.115, 123.255.91.87)
<AS6939, hkg1, AS4760, 1.65.138.0/24>|(123.255.90.148, 123.255.91.16, 123.255.91.25, 123.255.91.68)
<AS6939, hkg1, AS7540, 117.18.96.0/24>|(123.255.91.246, 123.255.91.244)
<AS6939, hkg1, AS7552, 27.64.242.0/24>|(36.255.56.34, 36.255.56.5)
<AS6939, hkg1, AS7713, 36.91.202.0/24>|(36.255.56.45, 103.203.158.95, 103.247.139.54)
<AS6939, hkg1, AS8075, 13.107.14.0/24>|(103.247.139.28, 103.203.158.102, 36.255.56.4)
<AS6939, hkg1, AS8966, 5.195.223.0/24>|(123.255.90.103, 36.255.56.134)
<AS6939, hkg1, AS9231, 203.142.98.0/24>|(123.255.90.192, 123.255.90.191)
<AS6939, hkg1, AS9269, 203.80.97.0/24>|(123.255.91.81, 36.255.56.17, 123.255.91.34, 103.247.139.9)
<AS6939, hkg1, AS9505, 175.41.48.0/24>|(123.255.91.131, 36.255.56.66)
<AS6939, hkg1, AS9658, 202.164.166.0/24>|(123.255.91.80, 36.255.56.161)
<AS6939, hkg1, AS9729, 202.85.137.0/24>|(210.184.127.1, 210.184.127.5, 210.184.127.2)
<AS6939, hkg1, AS10098, 49.213.1.0/24>|(123.255.91.105, 123.255.91.116)
<AS6939, hkg1, AS10118, 117.103.158.0/24>|(123.255.90.223, 123.255.90.203)
<AS6939, hkg1, AS13335, 103.22.203.0/24>|(123.255.90.246, 36.255.56.48)
<AS6939, hkg1, AS15133, 152.195.186.0/24>|(103.203.158.110, 36.255.56.59)
<AS6939, hkg1, AS15169, 108.177.103.0/24>|(103.203.158.50, 103.247.139.57, 36.255.56.12, 123.255.91.10)
<AS6939, hkg1, AS17676, 100.42.26.0/24>|(103.203.158.96, 103.203.158.97)
<AS6939, hkg1, AS17819, 27.111.169.0/24>|(36.255.56.252, 123.255.91.168)
<AS6939, hkg1, AS18403, 1.52.33.0/24>|(103.203.158.58, 36.255.56.85)
<AS6939, hkg1, AS20940, 23.67.36.0/24>|(103.247.139.17, 123.255.91.169)
<AS6939, hkg1, AS22822, 69.28.143.0/24>|(123.255.91.92, 103.247.139.49, 36.255.56.1)
<AS6939, hkg1, AS32590, 155.133.244.0/24>|(123.255.90.17, 36.255.56.72)
<AS6939, hkg1, AS32787, 27.105.82.0/24>|(123.255.91.26, 36.255.56.140)
<AS6939, hkg1, AS38001, 103.14.76.0/24>|(123.255.90.188, 36.255.56.60)
<AS6939, hkg1, AS38195, 27.122.112.0/24>|(36.255.56.188, 123.255.91.207)
<AS6939, hkg1, AS41913, 91.135.76.0/24>|(123.255.90.166, 36.255.56.67, 103.247.139.8)
<AS6939, hkg1, AS44444, 116.50.57.0/24>|(36.255.56.39, 123.255.91.140)
<AS6939, hkg1, AS45102, 45.158.183.0/24>|(36.255.56.78, 36.255.56.114, 103.203.158.53, 123.255.91.47)
<AS6939, hkg1, AS45187, 216.239.98.0/24>|(123.255.90.101, 36.255.56.87)
<AS6939, hkg1, AS46489, 192.108.239.0/24>|(123.255.90.47, 123.255.90.46, 36.255.56.118, 36.255.56.119)
<AS6939, hkg1, AS54113, 104.156.80.0/24>|(36.255.56.101, 36.255.56.96)
<AS6939, hkg1, AS54994, 157.185.151.0/24>|(36.255.56.165, 123.255.90.186, 123.255.90.150, 123.255.90.43)
<AS6939, hkg1, AS55967, 180.76.1.0/24>|(123.255.90.131, 36.255.56.98, 36.255.56.97)
<AS6939, hkg1, AS58779, 122.10.166.0/24>|(123.255.90.74, 103.247.139.32)
<AS6939, hkg1, AS63631, 119.161.152.0/24>|(123.255.90.59, 36.255.56.203)
<AS6939, hkg1, AS64096, 43.228.183.0/24>|(36.255.56.145, 123.255.90.76)
<AS6939, hkg1, AS132203, 103.7.28.0/24>|(36.255.56.121, 36.255.56.120)
<AS6939, hkg1, AS133142, 103.101.215.0/24>|(123.255.91.90, 123.255.92.16)
<AS6939, hkg1, AS206264, 103.109.102.0/24>|(103.247.139.72, 123.255.91.203)
<AS6939, jnb1, AS714, 17.171.63.0/24>|(196.60.9.161, 196.60.9.162)
<AS6939, jnb1, AS7020, 165.233.252.0/24>|(196.60.8.167, 196.223.14.40)
<AS6939, jnb1, AS8075, 13.107.14.0/24>|(196.60.9.133, 196.60.8.133)
<AS6939, jnb1, AS8674, 194.146.106.0/24>|(196.223.14.27, 196.60.9.160)
<AS6939, jnb1, AS10310, 102.165.180.0/24>|(196.60.9.73, 196.60.9.72)
<AS6939, jnb1, AS15169, 104.134.92.0/24>|(196.60.8.166, 196.60.9.113, 196.223.14.76)
<AS6939, jnb1, AS32437, 41.223.245.0/24>|(196.60.9.101, 196.223.14.121)
<AS6939, jnb1, AS32590, 155.133.238.0/24>|(196.60.9.22, 196.60.9.21)
<AS6939, jnb1, AS33764, 196.2.3.0/24>|(196.223.14.60, 196.223.14.160)
<AS6939, jnb1, AS37028, 41.183.0.0/24>|(196.60.8.173, 196.60.8.174)
<AS6939, jnb1, AS37150, 196.40.189.0/24>|(196.223.14.103, 196.60.8.187)
<AS6939, jnb1, AS37157, 102.128.138.0/24>|(196.60.8.117, 196.223.14.153)
<AS6939, jnb1, AS37168, 41.156.1.0/24>|(196.60.9.144, 196.223.14.59)
<AS6939, jnb1, AS37179, 196.6.243.0/24>|(196.60.8.135, 196.223.14.47)
<AS6939, jnb1, AS37254, 41.76.217.0/24>|(196.60.9.181, 196.60.8.181)
<AS6939, jnb1, AS37356, 196.11.63.0/24>|(196.60.9.10, 196.60.8.209, 196.223.14.75)
<AS6939, jnb1, AS37412, 41.79.182.0/24>|(196.60.9.117, 196.60.9.118)
<AS6939, jnb1, AS37525, 41.87.239.0/24>|(196.60.8.94, 196.60.8.84)
<AS6939, jnb1, AS44444, 85.115.36.0/24>|(196.223.14.78, 196.60.8.150)
<AS6939, jnb1, AS49362, 196.4.68.0/24>|(196.60.9.50, 196.60.9.49)
<AS6939, jnb1, AS49544, 185.179.201.0/24>|(196.223.14.134, 196.60.8.6)
<AS6939, jnb1, AS54113, 104.156.80.0/24>|(196.60.9.103, 196.60.8.13)
<AS6939, jnb1, AS327693, 102.67.183.0/24>|(196.60.9.221, 196.60.9.220)
<AS6939, jnb1, AS327811, 196.13.106.0/24>|(196.60.8.119, 196.60.8.121)
<AS6939, jnb1, AS327813, 102.68.80.0/24>|(196.223.14.139, 196.60.8.176, 196.223.14.140)
<AS6939, jnb1, AS327824, 154.118.252.0/24>|(196.60.8.96, 196.60.8.122)
<AS6939, jnb1, AS327880, 169.255.195.0/24>|(196.60.8.104, 196.60.8.14, 196.223.14.66)
<AS6939, jnb1, AS328112, 45.220.59.0/24>|(196.60.9.43, 196.223.14.74)
<AS6939, jnb1, AS328137, 160.119.225.0/24>|(196.60.9.137, 196.60.9.37)
<AS6939, jnb1, AS328317, 102.22.206.0/24>|(196.60.8.128, 196.60.9.122, 196.223.14.144, 196.223.14.244)
<AS6939, jnb1, AS328366, 154.118.245.0/24>|(196.223.14.93, 196.60.8.250)
<AS6939, kbp1, AS6876, 95.46.107.0/24>|(185.1.62.28, 193.25.180.143, 185.1.50.41)
<AS6939, kbp1, AS13335, 162.159.0.0/24>|(185.1.50.68, 193.25.181.201, 185.1.62.76)
<AS6939, kbp1, AS15169, 108.177.10.0/24>|(193.25.181.62, 193.25.181.70, 185.1.51.166)
<AS6939, kbp1, AS15461, 91.219.223.0/24>|(216.218.220.218, 184.104.202.78)
<AS6939, kbp1, AS29107, 194.0.90.0/24>|(185.1.50.125, 193.25.180.46, 185.1.62.64)
<AS6939, kbp1, AS34867, 185.48.199.0/24>|(216.66.87.139, 216.66.87.138)
<AS6939, kbp1, AS41820, 31.41.90.0/24>|(216.66.89.126, 216.66.94.74)
<AS6939, kbp1, AS43727, 5.187.65.0/24>|(193.25.181.78, 185.1.62.66)
<AS6939, las1, AS53340, 23.133.4.0/24>|(64.62.249.90, 216.218.200.10)
<AS6939, las1, AS53667, 198.251.87.0/24>|(172.18.0.30, 172.18.2.34)
<AS6939, lax1, AS1299, 2.22.63.0/24>|(213.248.67.141, 213.248.70.37)
<AS6939, lax1, AS2152, 130.150.102.0/24>|(206.223.123.95, 198.32.251.85)
<AS6939, lax1, AS8075, 104.44.238.0/24>|(206.53.172.12, 206.223.123.17)
<AS6939, lax1, AS9318, 125.61.92.0/24>|(206.223.123.116, 206.223.123.8)
<AS6939, lax1, AS10310, 216.115.103.0/24>|(198.32.146.28, 198.32.146.38, 206.223.123.16)
<AS6939, lax1, AS13414, 104.244.40.0/24>|(206.223.123.144, 206.223.123.177)
<AS6939, lax1, AS19151, 204.235.104.0/24>|(206.223.123.59, 198.32.146.59)
<AS6939, lax1, AS22822, 208.111.184.0/24>|(198.32.146.64, 206.223.123.123)
<AS6939, lax1, AS27224, 198.32.108.0/24>|(206.223.123.13, 206.223.123.12)
<AS6939, lax1, AS46489, 192.108.239.0/24>|(206.223.123.47, 206.223.123.247)
<AS6939, lax1, AS54113, 104.156.81.0/24>|(206.223.123.40, 206.223.123.31)
<AS6939, lax2, AS226, 192.124.100.0/24>|(65.19.156.114, 216.218.223.26)
<AS6939, lax2, AS714, 17.0.109.0/24>|(206.72.210.139, 206.72.211.35)
<AS6939, lax2, AS2635, 192.0.112.0/24>|(206.72.210.145, 206.72.211.81)
<AS6939, lax2, AS10310, 216.115.103.0/24>|(206.72.211.120, 206.72.210.195)
<AS6939, lax2, AS18403, 1.52.30.0/24>|(206.72.211.74, 206.72.211.73)
<AS6939, lax2, AS22616, 165.225.55.0/24>|(206.72.211.39, 206.72.211.40)
<AS6939, lax2, AS46489, 192.108.239.0/24>|(206.72.211.48, 206.72.210.165)
<AS6939, lax2, AS54113, 104.156.80.0/24>|(206.72.211.175, 206.72.211.174)
<AS6939, lax2, AS200981, 185.89.206.0/24>|(206.72.211.156, 206.72.211.155)
<AS6939, lon2, AS714, 17.0.109.0/24>|(185.1.104.30, 185.1.104.31)
<AS6939, lon2, AS1267, 192.5.97.0/24>|(195.66.225.65, 195.66.226.177)
<AS6939, lon2, AS6667, 192.136.73.0/24>|(195.66.224.114, 185.1.104.21)
<AS6939, lon2, AS6774, 213.137.134.0/24>|(195.66.225.97, 195.66.224.128)
<AS6939, lon2, AS6908, 91.199.24.0/24>|(195.66.225.32, 185.1.104.71)
<AS6939, lon2, AS9116, 192.116.213.0/24>|(195.66.225.114, 195.66.226.60)
<AS6939, lon2, AS10310, 87.248.104.0/24>|(195.66.224.115, 195.66.224.129)
<AS6939, lon2, AS12576, 194.35.183.0/24>|(195.66.225.252, 195.66.225.253)
<AS6939, lon2, AS13037, 88.98.21.0/24>|(195.66.224.158, 195.66.227.74)
<AS6939, lon2, AS20860, 31.24.32.0/24>|(195.66.226.230, 195.66.224.207)
<AS6939, lon2, AS22822, 208.111.184.0/24>|(195.66.224.122, 195.66.224.133)
<AS6939, lon2, AS29017, 193.227.111.0/24>|(195.66.224.141, 185.1.104.54)
<AS6939, lon2, AS35228, 87.194.90.0/24>|(195.66.225.189, 195.66.224.232)
<AS6939, lon2, AS46489, 192.108.239.0/24>|(195.66.225.174, 195.66.225.25)
<AS6939, lon2, AS47638, 91.237.197.0/24>|(195.66.225.169, 185.1.104.60)
